Consent_Page.started,Consent_Page.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_questionairre.started,pre_questionairre.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,pre_questionare2.started,pre_questionare2.stopped,reading_behaviour_response.keys,reading_behaviour_response.rt,reading_behaviour_response.duration,first_text.started,first_text.stopped,first_text_key.keys,first_text_key.rt,first_text_key.duration,first_loop.thisRepN,first_loop.thisTrialN,first_loop.thisN,first_loop.thisIndex,first_loop.ran,question,answer,perspective,source_type,first_AI_judgment.started,first_AI_judgment.stopped,first_AI_key.keys,first_AI_key.rt,first_AI_key.duration,first_check.started,first_check.stopped,first_check_key.keys,first_check_key.rt,first_check_key.duration,ai_resp_clean,check_resp_clean,trust_condition,trust_feedback.started,trust_feedback.stopped,feedback_key.keys,feedback_key.rt,feedback_key.duration,second_AI_judgment.started,second_AI_judgment.stopped,key_resp.keys,key_resp.rt,key_resp.duration,second_AI_judgment_2.started,second_AI_judgment_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,second_check.started,second_check.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,end_screen.started,end_screen.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,thank_you.started,thank_you.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration
0.0002,20.1853,space,20.1568,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,20.1858,29.3219,5,9.1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,29.3223,37.4977,4,8.1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,37.5138,50.6021,space,13.0711,,0,0,0,0,1,"Why is an interdisciplinary approach important in the Human and AI master programme that brings together psychology, philosophy, and computer science?  -- PRESS SPACE TO CONITNUE--","For a psychologist, it is interesting to see how different types of personality approach a human-artificial bridge aspect of intelligence that intuitively should be characterized in a personality-independent way.",Psychology,human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,50.6036,52.8824,h,2.2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8828,55.6982,y,2.7969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,y,raised,55.6991,66.1658,space,10.4495,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1659,67.9152,space,1.7322,,,,,,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9153,69.6079,a,1.6733,,,,,,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6085,72.24,y,2.6003,,,,,,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2411,76.2895,space,4.0169,,,,,,
,,,,,578726,001,2026-04-01_17h30.04.524,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2902,77.5777,space,1.2662,
